State      Area_Name                       POP_ESTIMATE_2019   
IN         Perry County                                   19169
IN         Pike County                                    12389
IN         Porter County                                 170389
IN         Posey County                                   25427
IN         Pulaski County                                 12353
IN         Putnam County                                  37576
IN         Randolph County                                24665
IN         Ripley County                                  28324
IN         Rush County                                    16581
IN         St. Joseph County                             271826
IN         Scott County                                   23873
IN         Shelby County                                  44729
IN         Spencer County                                 20277
IN         Starke County                                  22995
IN         Steuben County                                 34594
IN         Sullivan County                                20669
IN         Switzerland County                             10751
IN         Tippecanoe County                             195732
IN         Tipton County                                  15148
IN         Union County                                    7054
IN         Vanderburgh County                            181451
IN         Vermillion County                              15498
IN         Vigo County                                   107038
IN         Wabash County                                  30996
IN         Warren County                                   8265
IN         Warrick County                                 62998
IN         Washington County                              28036
IN         Wayne County                                   65884
IN         Wells County                                   28296
IN         White County                                   24102
IN         Whitley County                                 33964
IA         Iowa                                         3155070
IA         Adair County                                    7152
IA         Adams County                                    3602
IA         Allamakee County                               13687
IA         Appanoose County                               12426
IA         Audubon County                                  5496
IA         Benton County                                  25645
IA         Black Hawk County                             131228
IA         Boone County                                   26234
IA         Bremer County                                  25062
IA         Buchanan County                                21175
IA         Buena Vista County                             19620
IA         Butler County                                  14439
IA         Calhoun County                                  9668
IA         Carroll County                                 20165
IA         Cass County                                    12836
IA         Cedar County                                   18627
IA         Cerro Gordo County                             42450
IA         Cherokee County                                11235
IA         Chickasaw County                               11933
IA         Clarke County                                   9395
IA         Clay County                                    16016
IA         Clayton County                                 17549
IA         Clinton County                                 46429
IA         Crawford County                                16820
IA         Dallas County                                  93453
IA         Davis County                                    9000
IA         Decatur County                                  7870
IA         Delaware County                                17011
IA         Des Moines County                              38967
IA         Dickinson County                               17258
IA         Dubuque County                                 97311
IA         Emmet County                                    9208
IA         Fayette County                                 19650
IA         Floyd County                                   15642
IA         Franklin County                                10070
IA         Fremont County                                  6960
IA         Greene County                                   8888
IA         Grundy County                                  12232
IA         Guthrie County                                 10689
IA         Hamilton County                                14773
IA         Hancock County                                 10630
IA         Hardin County                                  16846
IA         Harrison County                                14049
IA         Henry County                                   19954
IA         Howard County                                   9158
IA         Humboldt County                                 9558
IA         Ida County                                      6860
IA         Iowa County                                    16184
IA         Jackson County                                 19439
IA         Jasper County                                  37185
IA         Jefferson County                               18295
IA         Johnson County                                151140
IA         Jones County                                   20681
IA         Keokuk County                                  10246
IA         Kossuth County                                 14813
IA         Lee County                                     33657
IA         Linn County                                   226706
IA         Louisa County                                  11035
IA         Lucas County                                    8600
IA         Lyon County                                    11755
IA         Madison County                                 16338
IA         Mahaska County                                 22095
IA         Marion County                                  33253
IA         Marshall County                                39369
IA         Mills County                                   15109
IA         Mitchell County                                10586
IA         Monona County                                   8615
IA         Monroe County                                   7707
IA         Montgomery County                               9917
IA         Muscatine County                               42664
IA         O'Brien County                                 13753
IA         Osceola County                                  5958
IA         Page County                                    15107
IA         Palo Alto County                                8886
IA         Plymouth County                                25177
IA         Pocahontas County                               6619
IA         Polk County                                   490161
IA         Pottawattamie County                           93206
IA         Poweshiek County                               18504
IA         Ringgold County                                 4894
IA         Sac County                                      9721
IA         Scott County                                  172943
IA         Shelby County                                  11454
IA         Sioux County                                   34855
IA         Story County                                   97117
IA         Tama County                                    16854
IA         Taylor County                                   6121
IA         Union County                                   12241
IA         Van Buren County                                7044
IA         Wapello County                                 34969
IA         Warren County                                  51466
IA         Washington County                              21965
IA         Wayne County                                    6441
IA         Webster County                                 35904
IA         Winnebago County                               10354
IA         Winneshiek County                              19991
IA         Woodbury County                               103107
IA         Worth County                                    7381
IA         Wright County                                  12562
KS         Kansas                                       2913314
KS         Allen County                                   12369
KS         Anderson County                                 7858
KS         Atchison County                                16073
KS         Barber County                                   4427
KS         Barton County                                  25779
KS         Bourbon County                                 14534
KS         Brown County                                    9564
KS         Butler County                                  66911
KS         Chase County                                    2648
KS         Chautauqua County                               3250
KS         Cherokee County                                19939
KS         Cheyenne County                                 2657
KS         Clark County                                    1994
KS         Clay County                                     8002
KS         Cloud County                                    8786
KS         Coffey County                                   8179
KS         Comanche County                                 1700
KS         Cowley County                                  34908
KS         Crawford County                                38818
KS         Decatur County                                  2827
KS         Dickinson County                               18466
KS         Doniphan County                                 7600
KS         Douglas County                                122259
KS         Edwards County                                  2798
KS         Elk County                                      2530
KS         Ellis County                                   28553
KS         Ellsworth County                                6102
KS         Finney County                                  36467
KS         Ford County                                    33619
KS         Franklin County                                25544
KS         Geary County                                   31670
KS         Gove County                                     2636
KS         Graham County                                   2482
KS         Grant County                                    7150
KS         Gray County                                     5988
KS         Greeley County                                  1232
KS         Greenwood County                                5982
KS         Hamilton County                                 2539
KS         Harper County                                   5436
KS         Harvey County                                  34429
KS         Haskell County                                  3968
KS         Hodgeman County                                 1794
KS         Jackson County                                 13171
KS         Jefferson County                               19043
KS         Jewell County                                   2879
KS         Johnson County                                602401
KS         Kearny County                                   3838
KS         Kingman County                                  7152
KS         Kiowa County                                    2475
KS         Labette County                                 19618
KS         Lane County                                     1535
KS         Leavenworth County                             81758
KS         Lincoln County                                  2962
KS         Linn County                                     9703
KS         Logan County                                    2794
KS         Lyon County                                    33195
KS         McPherson County                               28542
KS         Marion County                                  11884
KS         Marshall County                                 9707
KS         Meade County                                    4033
KS         Miami County                                   34237
KS         Mitchell County                                 5979
KS         Montgomery County                              31829
KS         Morris County                                   5620
KS         Morton County                                   2587
KS         Nemaha County                                  10231
KS         Neosho County                                  16007
KS         Ness County                                     2750
KS         Norton County                                   5361
KS         Osage County                                   15949
KS         Osborne County                                  3421
KS         Ottawa County                                   5704
KS         Pawnee County                                   6414
KS         Phillips County                                 5234
KS         Pottawatomie County                            24383
KS         Pratt County                                    9164
KS         Rawlins County                                  2530
KS         Reno County                                    61998
KS         Republic County                                 4636
KS         Rice County                                     9537
KS         Riley County                                   74232
KS         Rooks County                                    4920
KS         Rush County                                     3036
KS         Russell County                                  6856
KS         Saline County                                  54224
KS         Scott County                                    4823
KS         Sedgwick County                               516042
KS         Seward County                                  21428
KS         Shawnee County                                176875
KS         Sheridan County                                 2521
KS         Sherman County                                  5917
KS         Smith County                                    3583
KS         Stafford County                                 4156
KS         Stanton County                                  2006
KS         Stevens County                                  5485
KS         Sumner County                                  22836
KS         Thomas County                                   7777
KS         Trego County                                    2803
KS         Wabaunsee County                                6931
KS         Wallace County                                  1518
KS         Washington County                               5406
KS         Wichita County                                  2119
KS         Wilson County                                   8525
KS         Woodson County                                  3138
KS         Wyandotte County                              165429
KY         Kentucky                                     4467673
KY         Adair County                                   19202
KY         Allen County                                   21315
KY         Anderson County                                22747
KY         Ballard County                                  7888
KY         Barren County                                  44249
KY         Bath County                                    12500
KY         Bell County                                    26032
KY         Boone County                                  133581
KY         Bourbon County                                 19788
KY         Boyd County                                    46718
KY         Boyle County                                   30060
KY         Bracken County                                  8303
KY         Breathitt County                               12630
KY         Breckinridge County                            20477
KY         Bullitt County                                 81676
KY         Butler County                                  12879
KY         Caldwell County                                12747
KY         Calloway County                                39001
KY         Campbell County                                93584
KY         Carlisle County                                 4760
KY         Carroll County                                 10631
KY         Carter County                                  26797
KY         Casey County                                   16159
KY         Christian County                               70461
KY         Clark County                                   36263
KY         Clay County                                    19901
KY         Clinton County                                 10218
KY         Crittenden County                               8806
KY         Cumberland County                               6614
KY         Daviess County                                101511
KY         Edmonson County                                12150
KY         Elliott County                                  7517
KY         Estill County                                  14106
KY         Fayette County                                323152
KY         Fleming County                                 14581
KY         Floyd County                                   35589
KY         Franklin County                                50991
KY         Fulton County                                   5969
KY         Gallatin County                                 8869
KY         Garrard County                                 17666
KY         Grant County                                   25069
KY         Graves County                                  37266
KY         Grayson County                                 26427
KY         Green County                                   10941
KY         Greenup County                                 35098
KY         Hancock County                                  8722
KY         Hardin County                                 110958
KY         Harlan County                                  26010
KY         Harrison County                                18886
KY         Hart County                                    19035
KY         Henderson County                               45210
KY         Henry County                                   16126
KY         Hickman County                                  4380
KY         Hopkins County                                 44686
KY         Jackson County                                 13329
KY         Jefferson County                              766757
KY         Jessamine County                               54115
KY         Johnson County                                 22188
KY         Kenton County                                 166998
KY         Knott County                                   14806
KY         Knox County                                    31145
KY         Larue County                                   14398
KY         Laurel County                                  60813
KY         Lawrence County                                15317
KY         Lee County                                      7403
KY         Leslie County                                   9877
KY         Letcher County                                 21553
KY         Lewis County                                   13275
KY         Lincoln County                                 24549
KY         Livingston County                               9194
KY         Logan County                                   27102
KY         Lyon County                                     8210
KY         McCracken County                               65418
KY         McCreary County                                17231
KY         McLean County                                   9207
KY         Madison County                                 92987
KY         Magoffin County                                12161
KY         Marion County                                  19273
KY         Marshall County                                31100
KY         Martin County                                  11195
KY         Mason County                                   17070
KY         Meade County                                   28572
KY         Menifee County                                  6489
KY         Mercer County                                  21933
KY         Metcalfe County                                10071
KY         Monroe County                                  10650
KY         Montgomery County                              28157
KY         Morgan County                                  13309
KY         Muhlenberg County                              30622
KY         Nelson County                                  46233
KY         Nicholas County                                 7269
KY         Ohio County                                    23994
KY         Oldham County                                  66799
KY         Owen County                                    10901
KY         Owsley County                                   4415
KY         Pendleton County                               14590
KY         Perry County                                   25758
KY         Pike County                                    57876
KY         Powell County                                  12359
KY         Pulaski County                                 64979
KY         Robertson County                                2108
KY         Rockcastle County                              16695
KY         Rowan County                                   24460
KY         Russell County                                 17923
KY         Scott County                                   57004
KY         Shelby County                                  49024
KY         Simpson County                                 18572
KY         Spencer County                                 19351
KY         Taylor County                                  25769
KY         Todd County                                    12294
KY         Trigg County                                   14651
KY         Trimble County                                  8471
KY         Union County                                   14381
KY         Warren County                                 132896
KY         Washington County                              12095
KY         Wayne County                                   20333
KY         Webster County                                 12942
KY         Whitley County                                 36264
KY         Wolfe County                                    7157
KY         Woodford County                                26734
LA         Louisiana                                    4648794
LA         Acadia Parish                                  62045
LA         Allen Parish                                   25627
LA         Ascension Parish                              126604
LA         Assumption Parish                              21891
LA         Avoyelles Parish                               40144
LA         Beauregard Parish                              37497
LA         Bienville Parish                               13241
LA         Bossier Parish                                127039
LA         Caddo Parish                                  240204
LA         Calcasieu Parish                              203436
LA         Caldwell Parish                                 9918
LA         Cameron Parish                                  6973
LA         Catahoula Parish                                9494
LA         Claiborne Parish                               15670
LA         Concordia Parish                               19259
LA         De Soto Parish                                 27463
LA         East Baton Rouge Parish                       440059
LA         East Carroll Parish                             6861
LA         East Feliciana Parish                          19135
LA         Evangeline Parish                              33395
LA         Franklin Parish                                20015
LA         Grant Parish                                   22389
LA         Iberia Parish                                  69830
LA         Iberville Parish                               32511
LA         Jackson Parish                                 15744
LA         Jefferson Parish                              432493
LA         Jefferson Davis Parish                         31368
LA         Lafayette Parish                              244390
LA         Lafourche Parish                               97614
LA         LaSalle Parish                                 14892
LA         Lincoln Parish                                 46742
LA         Livingston Parish                             140789
LA         Madison Parish                                 10951
LA         Morehouse Parish                               24874
LA         Natchitoches Parish                            38158
LA         Orleans Parish                                390144
LA         Ouachita Parish                               153279
LA         Plaquemines Parish                             23197
LA         Pointe Coupee Parish                           21730
LA         Rapides Parish                                129648
LA         Red River Parish                                8442
LA         Richland Parish                                20122
LA         Sabine Parish                                  23884
LA         St. Bernard Parish                             47244
LA         St. Charles Parish                             53100
LA         St. Helena Parish                              10132
LA         St. James Parish                               21096
LA         St. John the Baptist Parish                    42837
LA         St. Landry Parish                              82124
LA         St. Martin Parish                              53431
LA         St. Mary Parish                                49348
LA         St. Tammany Parish                            260419
LA         Tangipahoa Parish                             134758
LA         Tensas Parish                                   4334
LA         Terrebonne Parish                             110461
LA         Union Parish                                   22108
LA         Vermilion Parish                               59511
LA         Vernon Parish                                  47429
LA         Washington Parish                              46194
LA         Webster Parish                                 38340
LA         West Baton Rouge Parish                        26465
LA         West Carroll Parish                            10830
LA         West Feliciana Parish                          15568
LA         Winn Parish                                    13904
ME         Maine                                        1344212
ME         Androscoggin County                           108277
ME         Aroostook County                               67055
ME         Cumberland County                             295003
ME         Franklin County                                30199
ME         Hancock County                                 54987
ME         Kennebec County                               122302
ME         Knox County                                    39772
ME         Lincoln County                                 34634
ME         Oxford County                                  57975
ME         Penobscot County                              152148
ME         Piscataquis County                             16785
ME         Sagadahoc County                               35856
ME         Somerset County                                50484
ME         Waldo County                                   39715
ME         Washington County                              31379
ME         York County                                   207641
MD         Maryland                                     6045680
MD         Allegany County                                70416
MD         Anne Arundel County                           579234
MD         Baltimore County                              827370
MD         Calvert County                                 92525
MD         Caroline County                                33406
MD         Carroll County                                168447
MD         Cecil County                                  102855
MD         Charles County                                163257
MD         Dorchester County                              31929
MD         Frederick County                              259547
MD         Garrett County                                 29014
MD         Harford County                                255441
MD         Howard County                                 325690
MD         Kent County                                    19422
MD         Montgomery County                            1050688
MD         Prince George's County                        909327
MD         Queen Anne's County                            50381
MD         St. Mary's County                             113510
MD         Somerset County                                25616
MD         Talbot County                                  37181
MD         Washington County                             151049
MD         Wicomico County                               103609
MD         Worcester County                               52276
MD         Baltimore city                                593490
MA         Massachusetts                                6892503
MA         Barnstable County                             212990
MA         Berkshire County                              124944
MA         Bristol County                                565217
MA         Dukes County                                   17332
MA         Essex County                                  789034
MA         Franklin County                                70180
MA         Hampden County                                466372
MA         Hampshire County                              160830
MA         Middlesex County                             1611699
MA         Nantucket County                               11399
MA         Norfolk County                                706775
MA         Plymouth County                               521202
MA         Suffolk County                                803907
MA         Worcester County                              830622
MI         Michigan                                     9986857
MI         Alcona County                                  10405
MI         Alger County                                    9108
MI         Allegan County                                118081
MI         Alpena County                                  28405
MI         Antrim County                                  23324
MI         Arenac County                                  14883
MI         Baraga County                                   8209
MI         Barry County                                   61550
MI         Bay County                                    103126
MI         Benzie County                                  17766
MI         Berrien County                                153401
MI         Branch County                                  43517
MI         Calhoun County                                134159
MI         Cass County                                    51787
MI         Charlevoix County                              26143
MI         Cheboygan County                               25276
MI         Chippewa County                                37349
MI         Clare County                                   30950
MI         Clinton County                                 79595
MI         Crawford County                                14029
MI         Delta County                                   35784
MI         Dickinson County                               25239
MI         Eaton County                                  110268
MI         Emmet County                                   33415
MI         Genesee County                                405813
MI         Gladwin County                                 25449
MI         Gogebic County                                 13975
MI         Grand Traverse County                          93088
MI         Gratiot County                                 40711
MI         Hillsdale County                               45605
MI         Houghton County                                35684
MI         Huron County                                   30981
MI         Ingham County                                 292406
MI         Ionia County                                   64697
MI         Iosco County                                   25127
MI         Iron County                                    11066
MI         Isabella County                                69872
MI         Jackson County                                158510
MI         Kalamazoo County                              265066
MI         Kalkaska County                                18038
MI         Kent County                                   656955
MI         Keweenaw County                                 2116
MI         Lake County                                    11853
MI         Lapeer County                                  87607
MI         Leelanau County                                21761
MI         Lenawee County                                 98451
MI         Livingston County                             191995
MI         Luce County                                     6229
MI         Mackinac County                                10799
MI         Macomb County                                 873972
MI         Manistee County                                24558
MI         Marquette County                               66699
MI         Mason County                                   29144
MI         Mecosta County                                 43453
MI         Menominee County                               22780
MI         Midland County                                 83156
MI         Missaukee County                               15118
MI         Monroe County                                 150500
MI         Montcalm County                                63888
MI         Montmorency County                              9328
MI         Muskegon County                               173566
MI         Newaygo County                                 48980
MI         Oakland County                               1257584
MI         Oceana County                                  26467
MI         Ogemaw County                                  20997
MI         Ontonagon County                                5720
MI         Osceola County                                 23460
MI         Oscoda County                                   8241
MI         Otsego County                                  24668
MI         Ottawa County                                 291830
MI         Presque Isle County                            12592
MI         Roscommon County                               24019
MI         Saginaw County                                190539
MI         St. Clair County                              159128
MI         St. Joseph County                              60964
MI         Sanilac County                                 41170
MI         Schoolcraft County                              8094
MI         Shiawassee County                              68122
MI         Tuscola County                                 52245
MI         Van Buren County                               75677
MI         Washtenaw County                              367601
MI         Wayne County                                 1749343
MI         Wexford County                                 33631
MN         Minnesota                                    5639632
MN         Aitkin County                                  15886
MN         Anoka County                                  356921
MN         Becker County                                  34423
MN         Beltrami County                                47188
MN         Benton County                                  40889
MN         Big Stone County                                4991
MN         Blue Earth County                              67653
MN         Brown County                                   25008
MN         Carlton County                                 35871
MN         Carver County                                 105089
MN         Cass County                                    29779
MN         Chippewa County                                11800
MN         Chisago County                                 56579
MN         Clay County                                    64222
MN         Clearwater County                               8818
MN         Cook County                                     5463
MN         Cottonwood County                              11196
MN         Crow Wing County                               65055
MN         Dakota County                                 429021
MN         Dodge County                                   20934
MN         Douglas County                                 38141
MN         Faribault County                               13653
MN         Fillmore County                                21067
MN         Freeborn County                                30281
MN         Goodhue County                                 46340
MN         Grant County                                    5972
MN         Hennepin County                              1265843
MN         Houston County                                 18600
MN         Hubbard County                                 21491
MN         Isanti County                                  40596
MN         Itasca County                                  45130
MN         Jackson County                                  9846
MN         Kanabec County                                 16337
MN         Kandiyohi County                               43199
MN         Kittson County                                  4298
MN         Koochiching County                             12229
MN         Lac qui Parle County                            6623
MN         Lake County                                    10641
MN         Lake of the Woods County                        3740
MN         Le Sueur County                                28887
MN         Lincoln County                                  5639
MN         Lyon County                                    25474
MN         McLeod County                                  35893
MN         Mahnomen County                                 5527
MN         Marshall County                                 9336
MN         Martin County                                  19683
MN         Meeker County                                  23222
MN         Mille Lacs County                              26277
MN         Morrison County                                33386
MN         Mower County                                   40062
MN         Murray County                                   8194
MN         Nicollet County                                34274
MN         Nobles County                                  21629
MN         Norman County                                   6375
MN         Olmsted County                                158293
MN         Otter Tail County                              58746
MN         Pennington County                              14119
MN         Pine County                                    29579
MN         Pipestone County                                9126
MN         Polk County                                    31364
MN         Pope County                                    11249
MN         Ramsey County                                 550321
MN         Red Lake County                                 4055
MN         Redwood County                                 15170
MN         Renville County                                14548
MN         Rice County                                    66972
MN         Rock County                                     9315
MN         Roseau County                                  15165
MN         St. Louis County                              199070
MN         Scott County                                  149013
MN         Sherburne County                               97238
MN         Sibley County                                  14865
MN         Stearns County                                161075
MN         Steele County                                  36649
MN         Stevens County                                  9805
MN         Swift County                                    9266
MN         Todd County                                    24664
MN         Traverse County                                 3259
MN         Wabasha County                                 21627
MN         Wadena County                                  13682
MN         Waseca County                                  18612
MN         Washington County                             262440
MN         Watonwan County                                10897
MN         Wilkin County                                   6207
MN         Winona County                                  50484
MN         Wright County                                 138377
MN         Yellow Medicine County                          9709
MS         Mississippi                                  2976149
MS         Adams County                                   30693
MS         Alcorn County                                  36953
MS         Amite County                                   12297
MS         Attala County                                  18174
MS         Benton County                                   8259
MS         Bolivar County                                 30628
MS         Calhoun County                                 14361
MS         Carroll County                                  9947
MS         Chickasaw County                               17103
MS         Choctaw County                                  8210
MS         Claiborne County                                8988
MS         Clarke County                                  15541
MS         Clay County                                    19316
MS         Coahoma County                                 22124
MS         Copiah County                                  28065
MS         Covington County                               18636
MS         DeSoto County                                 184945
MS         Forrest County                                 74897
MS         Franklin County                                 7713
MS         George County                                  24500
MS         Greene County                                  13586
MS         Grenada County                                 20758
MS         Hancock County                                 47632
MS         Harrison County                               208080
MS         Hinds County                                  231840
MS         Holmes County                                  17010
MS         Humphreys County                                8064
MS         Issaquena County                                1327
MS         Itawamba County                                23390
MS         Jackson County                                143617
MS         Jasper County                                  16383
MS         Jefferson County                                6990
MS         Jefferson Davis County                         11128
MS         Jones County                                   68098
MS         Kemper County                                   9742
MS         Lafayette County                               54019
MS         Lamar County                                   63343
MS         Lauderdale County                              74125
MS         Lawrence County                                12586
MS         Leake County                                   22786
MS         Lee County                                     85436
MS         Leflore County                                 28183
MS         Lincoln County                                 34153
MS         Lowndes County                                 58595
MS         Madison County                                106272
MS         Marion County                                  24573
MS         Marshall County                                35294
MS         Monroe County                                  35252
MS         Montgomery County                               9775
MS         Neshoba County                                 29118
MS         Newton County                                  21018
